Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
43	-723.08997	52.273495	-644.62915	-802.5343	1000.0	-69.18935	5.1173873	-30.814144	-81.27545	220000	0.07947041	408.20703	-0.002997227	-75.03992	9.017671	1.6185203	370.36980867385864
44	-713.8115	26.19469	-687.0048	-759.45087	1000.0	-64.08464	7.011993	-18.07721	-81.12431	225000	-0.0031697936	302.98337	-0.003542142	-49.48282	8.8717	1.4485778	378.58601665496826
45	-711.00604	77.77246	-630.08307	-849.63477	1000.0	-64.70968	5.283556	-23.708254	-81.09824	230000	0.06853068	322.33276	-0.0020857826	-29.333984	9.053021	1.5932939	386.74805426597595
46	-730.2278	67.889046	-611.23267	-799.24896	1000.0	-64.57374	4.956639	-39.875866	-81.20912	235000	0.012642877	406.2133	-0.0025936589	-60.597565	9.016991	1.5755847	394.9173991680145
47	-725.5515	95.13746	-553.86975	-830.39417	1000.0	-67.06364	6.7837934	2.6822128	-81.15725	240000	0.06636187	435.4174	-0.0016945451	-74.50162	8.864247	1.4258963	402.93795108795166
48	-716.45593	44.403652	-652.70447	-787.26215	1000.0	-65.5635	5.2220545	-15.386966	-81.14168	245000	-0.043041628	391.0927	-0.0022326522	-54.33667	8.86114	1.4715241	411.13109397888184
49	-709.7829	38.674023	-675.86914	-783.3487	1000.0	-62.26515	4.7604938	-21.639418	-81.10859	250000	0.068664856	339.24646	-0.0025760904	-26.459106	8.84914	1.4586285	419.3923523426056
50	-715.3771	65.06418	-651.14465	-831.6217	1000.0	-64.53279	5.1918163	-33.10619	-81.29076	255000	0.10020209	310.032	-0.0022173524	-38.550873	8.81805	1.4295663	428.2967617511749
51	-689.2982	95.47096	-577.91614	-853.4356	1000.0	-63.384533	6.2420774	-11.888693	-81.46238	260000	-0.000894989	388.696	-0.0021503787	-80.52881	8.951498	1.5395439	436.4771318435669
52	-692.0427	53.588535	-623.4977	-786.1903	1000.0	-59.363125	9.100014	26.04742	-81.65728	265000	0.078398	489.9277	-0.0022244528	-140.02301	8.7709675	1.3943255	444.5347454547882
53	-802.88696	53.361275	-720.71893	-864.1418	1000.0	-62.102886	4.1072245	-17.81363	-81.64662	270000	0.021562355	487.43994	-0.0018605702	-129.788	8.912233	1.4293797	452.55427169799805
54	-601.6577	52.22401	-533.1059	-694.09564	1000.0	-68.793625	5.295346	-52.316048	-82.59808	275000	0.03432627	531.1462	-0.0014346577	-220.72879	8.916033	1.4952818	460.64685440063477
55	-670.0847	30.63655	-630.3868	-707.42847	1000.0	-58.754337	2.9517493	-26.066174	-80.40765	280000	0.00776098	369.51917	-0.0022072326	-45.24002	8.865437	1.425161	468.82740211486816
56	-710.3174	44.324574	-665.84467	-787.76447	1000.0	-60.072258	3.6931767	2.0002766	-81.36871	285000	0.067187086	317.5251	-0.0023600385	-45.525696	8.86925	1.4320436	476.9830379486084
57	-710.20844	47.187702	-642.46533	-765.02484	1000.0	-63.765274	5.0021367	-36.34107	-81.84597	290000	0.040131446	325.85754	-0.0031843148	-25.206299	8.912518	1.468541	485.11565470695496
58	-553.5566	247.76341	-59.28114	-698.6431	813.0	-62.46039	5.2245035	-44.304295	-81.59533	295000	0.10862869	292.6898	-0.0025812313	-39.599792	8.807236	1.406474	493.2682149410248
59	-614.9379	73.411644	-479.38852	-698.69366	1000.0	-60.828587	4.6050553	-17.091911	-81.37177	300000	0.10315888	367.48032	-0.0027231127	-78.43356	8.830545	1.4223107	501.48327445983887
60	-631.61145	100.80743	-491.56702	-797.5966	1000.0	-56.771313	7.6335773	22.112352	-80.786125	305000	0.08787032	406.52924	-0.0031211227	-73.053406	8.921553	1.484658	510.26245069503784
61	-598.58264	73.14662	-531.43774	-737.2033	1000.0	-56.935974	5.356436	18.642721	-80.52687	310000	0.06650954	338.21448	-0.0021817982	-69.440765	8.936772	1.5370787	518.7980947494507
62	-554.69696	261.9408	-44.66404	-796.4887	820.2	-55.44185	6.412588	6.693101	-80.25798	315000	-0.018583553	357.43356	-0.0026860088	-66.929016	8.896147	1.4677869	527.051816701889
63	-585.9246	57.473625	-476.27548	-646.2279	1000.0	-57.595764	5.284946	19.635674	-80.659134	320000	0.08815976	389.3308	-0.00242313	-78.0871	8.914956	1.4743981	535.2000367641449
64	-510.26923	243.207	-37.595943	-723.0164	812.2	-54.767162	6.4847417	56.023846	-80.02431	325000	0.07165543	351.908	-0.0033193678	-76.117615	8.927502	1.4530779	543.2811529636383
65	-658.2661	58.435425	-577.2879	-749.46765	1000.0	-58.759094	4.2531414	-13.989289	-80.83648	330000	0.08386221	279.0395	-0.0024745017	-29.384186	8.819158	1.3750564	551.1556613445282
66	-670.4462	63.241875	-591.4843	-767.1217	1000.0	-58.65534	5.207728	-3.9314907	-80.77516	335000	0.027777111	307.5993	-0.0019918382	-34.937866	8.816867	1.3489357	558.9225578308105
67	-674.44226	65.75846	-598.51514	-777.98956	1000.0	-61.471382	7.646096	13.830709	-81.059685	340000	0.04180298	381.4872	-0.002166327	-53.288208	8.84429	1.4211334	566.6410336494446
