Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
64	269.8727	270.45062	577.58154	-217.56596	366.38147	470.55847	797.98047	-806.3131	1000.0	1000.0	320000	124.76847	37.719547	226.57927	53.374275	-125.716	4.7437563	2442.2925333976746
65	244.33789	299.2358	641.295	-245.29178	384.45966	157.27036	582.9408	121.31055	1000.0	916.7	325000	124.55539	38.4059	230.83272	52.514435	-125.4758	4.741893	2481.002101659775
66	586.99255	175.57495	888.2526	421.04587	413.7536	220.31082	909.9438	125.12238	1000.0	1000.0	330000	124.054855	38.661224	227.13295	27.25263	-124.94654	4.9565554	2520.145171403885
67	145.26407	391.7615	594.79913	-562.49817	-2.4129882	801.9713	835.09344	-1415.563	1000.0	1000.0	335000	123.14301	38.078373	223.72249	4.0434155	-124.028175	4.5713434	2560.0626335144043
68	420.80112	122.844025	581.217	218.21228	266.65872	158.22426	464.1713	-22.11494	1000.0	1000.0	340000	122.34171	38.07753	222.67894	37.50592	-123.208885	4.6726904	2600.392471551895
69	273.8946	125.41107	472.18466	147.49968	367.49896	126.30817	592.5339	168.13644	1000.0	1000.0	345000	121.523674	37.56716	223.45813	41.673466	-122.395874	4.564447	2640.0962102413177
70	422.57623	112.88502	579.2322	274.6237	393.2516	47.564518	447.3209	287.78244	1000.0	1000.0	350000	120.93796	37.709587	221.84026	5.5491476	-121.8525	4.7224455	2680.1919088363647
71	416.747	199.1506	660.73706	82.85575	327.37717	241.29248	715.2165	5.029887	1000.0	905.1	355000	121.00247	37.78534	221.26643	47.03375	-121.902824	4.6505775	2719.0610275268555
72	530.5901	167.83577	701.617	220.83217	580.8912	75.55623	738.75586	494.5466	1000.0	1000.0	360000	121.20669	37.196922	221.8961	-0.652575	-122.11029	4.559144	2759.3459961414337
73	373.92804	150.60857	542.6975	125.911736	572.6042	212.93404	711.611	-45.937943	1000.0	1000.0	365000	121.195984	36.43851	221.56236	41.119873	-122.07145	4.53259	2798.0898566246033
74	622.37286	207.10658	823.36615	246.60033	421.29166	197.57327	661.7751	51.575577	1000.0	907.1	370000	120.38189	36.066746	219.02362	75.22591	-121.23322	4.4173284	2837.0698189735413
75	266.50998	167.62808	521.41644	27.47344	234.73862	118.99992	547.1178	115.30151	1000.0	1000.0	375000	119.838486	35.876537	216.35637	39.202507	-120.68655	4.5456467	2877.225485801697
76	156.90056	404.13144	778.06396	-329.44812	249.48376	743.6365	1184.1517	-972.55347	1000.0	1000.0	380000	118.69888	35.7579	217.08621	-4.5505066	-119.5404	4.40287	2917.878914833069
