Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
42	4683.425	9.386504	4706.466	4671.8325	4634.835	9.966099	4650.1284	4622.644	1000.0	1000.0	420000	466.8703	4.4687686	601.2558	259.59036	-466.86804	1.1445918	3988.479750394821
43	4687.2373	6.57377	4697.611	4679.0625	4630.2715	7.448763	4645.9316	4621.004	1000.0	1000.0	430000	466.83167	4.304134	579.4061	347.99637	-466.82666	1.1885864	4080.3154895305634
44	4687.768	5.498762	4697.321	4681.8994	4624.834	3.4415936	4630.6436	4618.5234	1000.0	1000.0	440000	466.85925	4.429085	711.2275	372.72498	-466.8565	1.116411	4171.006100893021
45	4691.9863	9.592518	4707.4263	4678.477	4633.4624	10.882924	4652.2935	4620.963	1000.0	1000.0	450000	467.00482	4.3980193	601.8167	371.17807	-467.0035	1.0095098	4262.351470947266
46	4689.0347	6.176587	4701.391	4680.633	4636.684	11.205967	4649.356	4620.692	1000.0	1000.0	460000	466.87823	4.4273534	690.1713	311.11414	-466.86926	0.9821771	4355.43017077446
47	4687.6377	4.206351	4693.576	4680.8066	4630.665	10.486499	4647.533	4619.167	1000.0	1000.0	470000	466.67624	4.338338	591.2764	366.4141	-466.66736	0.94125706	4447.578746557236
48	4685.6665	7.304983	4700.9214	4676.3623	4637.2217	12.438992	4654.2456	4619.2295	1000.0	1000.0	480000	466.5262	4.3724437	561.2124	374.96072	-466.51614	0.8991756	4538.874645233154
49	4690.995	10.374594	4703.9727	4672.984	4632.548	11.5704975	4652.6055	4617.8984	1000.0	1000.0	490000	466.53958	4.528822	598.95496	282.50143	-466.5311	1.0609043	4631.719551324844
50	4685.7046	5.6655583	4696.562	4679.55	4626.5234	8.78352	4650.6084	4615.4844	1000.0	1000.0	500000	466.51505	4.4101763	572.4099	364.71835	-466.5051	0.9336873	4726.344029903412
51	4685.8975	10.489155	4702.171	4661.704	4635.2603	12.406367	4655.155	4621.466	1000.0	1000.0	510000	466.5516	4.3940644	560.5552	400.28024	-466.54944	0.89817375	4821.721937894821
52	4689.9297	6.328368	4700.769	4681.479	4627.8467	2.5369387	4631.741	4623.6045	1000.0	1000.0	520000	466.6377	4.355226	592.2318	399.2728	-466.63	0.8310039	4919.27305150032
53	4686.04	6.536757	4700.8423	4678.534	4629.4126	10.011745	4657.442	4622.1343	1000.0	1000.0	530000	466.66684	4.3530483	556.737	350.01453	-466.6633	0.90273553	5020.864061355591
54	4691.1616	10.232054	4705.8447	4677.5723	4633.3936	10.550261	4652.987	4623.391	1000.0	1000.0	540000	466.81976	4.35625	600.52875	391.23834	-466.8148	0.9504685	5121.8782777786255
55	4691.225	10.0666895	4706.904	4676.8467	4634.7163	11.16902	4653.083	4624.1865	1000.0	1000.0	550000	466.6154	4.327183	582.1957	339.24048	-466.60315	0.7868894	5222.353760719299
56	4689.4844	6.527855	4702.6675	4682.1606	4638.2314	10.836311	4654.395	4618.8784	1000.0	1000.0	560000	466.64743	4.424165	633.822	342.60165	-466.6449	0.87913233	5324.348460435867
57	4686.801	8.526125	4702.642	4676.422	4629.3057	9.240102	4649.443	4621.8535	1000.0	1000.0	570000	466.76624	4.381253	580.5213	397.37433	-466.7613	0.8360828	5425.26283288002
58	4689.0137	14.851464	4703.787	4652.731	4633.645	9.055873	4648.8267	4621.4897	1000.0	1000.0	580000	466.6634	4.349977	554.06866	278.8209	-466.65454	0.78073514	5525.9585592746735
59	4689.83	10.854938	4707.4673	4674.512	4629.0767	8.346427	4652.1084	4619.2827	1000.0	1000.0	590000	466.51056	4.336882	581.8784	403.8748	-466.4977	0.7835396	5628.391255140305
60	4690.3784	8.607811	4703.6006	4679.129	4634.733	11.056659	4652.0146	4620.082	1000.0	1000.0	600000	466.4937	4.3042502	566.3701	391.10403	-466.48764	0.81619406	5728.919572591782
61	4684.956	7.3911233	4701.654	4675.457	4630.7866	10.864357	4652.866	4618.803	1000.0	1000.0	610000	466.56793	4.3532786	549.3862	372.67838	-466.56	0.74973226	5831.115065097809
62	4688.2407	6.980407	4703.3276	4678.382	4635.9443	15.089321	4654.9155	4617.362	1000.0	1000.0	620000	466.581	4.426481	639.0096	372.94858	-466.5767	0.91245437	5941.575532197952
63	4688.1606	9.461599	4713.08	4677.5366	4625.471	4.811029	4632.2666	4618.7583	1000.0	1000.0	630000	466.84244	4.4715242	574.067	361.78384	-466.8394	0.7488667	6050.06218290329
64	4688.476	6.93267	4699.59	4679.7583	4628.276	5.341332	4642.3013	4623.4453	1000.0	1000.0	640000	466.93344	4.3758125	557.7307	354.6549	-466.9325	0.76645195	6158.271948814392
65	4692.011	9.472396	4707.2104	4677.1313	4637.6787	11.778619	4652.8496	4619.285	1000.0	1000.0	650000	467.19083	4.3628073	566.9541	349.75317	-467.1933	0.76709545	6268.524281263351
66	4685.569	5.557899	4696.2334	4677.8804	4629.9536	8.533358	4644.4414	4619.9824	1000.0	1000.0	660000	467.25632	4.254562	595.3877	401.37756	-467.2539	0.75682306	6376.99502325058
67	4689.439	8.143797	4704.5317	4680.483	4629.059	9.803067	4651.017	4619.947	1000.0	1000.0	670000	467.22424	4.341148	558.8378	331.67917	-467.22195	0.79776984	6493.151871204376
68	4684.643	7.896831	4702.8145	4668.7847	4632.456	10.780863	4649.77	4620.048	1000.0	1000.0	680000	467.25848	4.250696	553.08234	396.06467	-467.2574	0.6639209	6611.3567950725555
69	4685.088	8.740879	4708.6514	4675.8125	4631.679	9.104102	4646.7217	4623.1904	1000.0	1000.0	690000	467.30188	4.2234254	592.4939	333.3714	-467.3026	0.81082624	6727.660518407822
70	4687.4014	8.25598	4705.0654	4676.9946	4630.7705	9.5421505	4649.5566	4619.1875	1000.0	1000.0	700000	467.40005	4.3445606	598.0556	281.41528	-467.399	0.69142234	6844.547548294067
71	4690.8384	4.803201	4699.7056	4683.226	4634.8193	10.825253	4657.4385	4620.736	1000.0	1000.0	710000	467.38028	4.297558	628.2257	385.93237	-467.383	0.75347036	6960.60435461998
72	4687.4736	7.4914536	4705.6562	4673.7275	4632.572	9.781992	4648.4365	4620.348	1000.0	1000.0	720000	467.36237	4.389613	545.9199	410.06848	-467.3568	0.64286083	7076.336812257767
73	4686.3125	8.228725	4700.928	4673.963	4631.7217	8.266244	4646.01	4621.9556	1000.0	1000.0	730000	467.17966	4.3399277	599.96893	398.64154	-467.1771	0.69317186	7194.585475444794
74	4687.711	4.0973043	4696.8384	4680.791	4634.309	10.547307	4654.506	4622.1807	1000.0	1000.0	740000	467.0702	4.2681584	642.8982	325.42496	-467.06674	0.8829661	7312.618387937546
75	4687.9824	9.240726	4708.696	4678.3774	4633.6455	12.7621565	4652.9854	4620.1104	1000.0	1000.0	750000	467.1149	4.284253	581.9971	375.69913	-467.11456	0.6304828	7431.673749446869
76	4685.8584	9.256262	4705.5024	4672.745	4626.7485	7.1358604	4645.8716	4618.889	1000.0	1000.0	760000	467.2368	4.2686152	572.3051	397.11957	-467.2355	0.6630742	7549.025153398514
77	4685.4805	10.741211	4708.896	4668.67	4631.427	10.178099	4649.842	4620.394	1000.0	1000.0	770000	467.17926	4.287472	540.555	402.66995	-467.1762	0.5951722	7658.890467166901
78	4681.442	6.2517314	4688.5845	4666.615	4630.4126	9.262332	4647.8345	4618.818	1000.0	1000.0	780000	467.1942	4.1893992	611.77625	388.44006	-467.194	0.61222136	7769.474113225937
79	4684.9854	8.08151	4700.259	4668.585	4630.509	8.151562	4648.1616	4622.2344	1000.0	1000.0	790000	467.2121	4.225467	617.42334	403.33078	-467.21274	0.6893881	7879.024770736694
