Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
49	4568.674	59.560413	4631.8706	4472.085	1000.0	236.0309	6.4244304	236.20107	-124.102036	250000	-0.08488838	39016.316	-0.013165161	-1549.4844	17.244635	1.6619039	596.6997351646423
50	4522.334	63.495857	4641.943	4467.4824	1000.0	240.136	4.0066476	240.30406	55.21873	255000	-0.13989615	36698.52	-0.013113439	-1403.7773	17.55685	1.93035	609.1779634952545
51	4478.6514	122.25345	4641.5845	4298.7944	1000.0	244.29912	0.4007603	244.3119	218.18445	260000	-0.03232352	33159.176	-0.01266709	-1228.1934	17.419117	1.8290062	620.5400514602661
52	4493.8154	77.06979	4590.7285	4383.861	1000.0	248.15698	0.92375255	248.18808	201.55736	265000	0.09038024	33116.34	-0.010788187	-1240.6953	17.418718	1.7749559	632.0244052410126
53	4509.177	114.254524	4707.1553	4399.068	1000.0	251.9474	7.271896	252.10025	-222.53401	270000	-0.26036274	31952.928	-0.013218343	-1266.4375	17.369003	1.8427321	643.9446725845337
54	4459.3936	42.836685	4509.497	4388.116	1000.0	255.82307	7.194565	255.97618	-233.28221	275000	0.08783452	29170.5	-0.014872678	-1199.6016	17.4084	1.8245176	655.6539232730865
55	4553.176	99.59521	4696.0806	4426.9	1000.0	259.57526	6.4254875	259.73657	-162.18326	280000	0.008830216	30846.547	-0.014053525	-1281.6309	17.40854	1.8581583	667.2212941646576
56	4543.9487	111.61825	4751.9053	4433.248	1000.0	263.60583	1.007134	263.6529	222.60907	285000	0.02939574	29910.893	-0.017735217	-1130.7871	17.379173	1.7554063	678.7834422588348
57	4485.6763	79.84526	4624.0757	4389.73	1000.0	267.42307	3.0911021	267.51633	93.04176	290000	0.026898922	26844.076	-0.015673794	-1070.0859	17.471128	1.8403112	690.1995403766632
58	4469.8604	64.3939	4540.1416	4361.945	1000.0	271.15405	3.130057	271.2538	107.15268	295000	-0.0428246	24879.982	-0.011234142	-993.2656	17.495394	1.8824594	701.7604269981384
59	4446.4907	49.925777	4501.3086	4368.8667	1000.0	274.76736	4.861463	274.91595	56.97962	300000	-0.09291625	23681.51	-0.012097046	-953.2344	17.41821	1.8556	713.3076510429382
60	4469.7393	65.60091	4542.975	4370.5786	1000.0	278.423	2.4289834	278.50534	157.25551	305000	-0.017629407	23780.602	-0.012742424	-921.0918	17.536669	1.9386016	725.4636385440826
61	4498.4995	76.949005	4598.0483	4382.984	1000.0	282.05353	1.7979856	282.10724	186.97034	310000	0.060510535	23490.877	-0.011088472	-915.8242	17.481993	1.8432219	736.7607588768005
62	4457.915	60.732407	4532.645	4377.339	1000.0	285.70154	1.9371874	285.7477	162.57527	315000	-0.018698975	21360.887	-0.0122022815	-829.9004	17.552004	1.9559371	748.3463854789734
63	4431.129	64.91926	4545.5264	4379.0938	1000.0	289.1701	4.8257647	289.2727	-35.46683	320000	0.13150826	19994.441	-0.011794284	-824.4629	17.621239	2.0470526	759.897691488266
64	4429.251	64.62141	4556.234	4374.492	1000.0	292.60583	2.8476121	292.7055	155.97896	325000	0.13375534	18801.293	-0.011719011	-763.3867	17.603128	1.9675345	771.7566165924072
65	4434.7275	35.558777	4500.5713	4395.4453	1000.0	295.63678	10.128653	296.07156	-77.07984	330000	-0.005485248	18467.137	-0.0102340095	-847.68164	17.515678	1.8958832	783.4458029270172
66	4503.3125	64.86426	4580.7915	4401.746	1000.0	299.22604	3.3218482	299.41507	164.62434	335000	-0.009884952	19429.639	-0.010708878	-840.5547	17.401743	1.8706853	795.0397818088531
67	4502.5303	35.93427	4558.2363	4465.6113	1000.0	302.7017	5.9151845	302.9332	-34.01355	340000	-0.16658813	18921.318	-0.013862923	-781.33984	17.47849	1.8935137	806.9814541339874
68	4511.673	135.40761	4768.8423	4410.3394	1000.0	306.3644	1.5503052	306.39914	200.77292	345000	-0.11109106	18291.414	-0.012684047	-706.14453	17.475548	1.8393852	818.6434571743011
