Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
49	-55.48296	136.13696	100.17775	-290.17108	1.0063012	673.5925	611.8978	-1760.8158	1000.0	1000.0	245000	43.35314	13.655876	92.019424	-24.617872	-44.665134	2.8596945	1873.0251967906952
50	-52.493053	209.43613	176.54085	-399.0517	59.54487	252.12769	427.2357	-450.22635	1000.0	1000.0	250000	47.138527	14.350713	105.13517	-39.31372	-48.43756	2.944384	1914.9882848262787
51	-121.80497	273.3256	179.88069	-629.8327	-444.70868	48.042744	-348.12268	-519.06323	1000.0	1000.0	255000	49.886536	14.674734	104.11014	-37.681774	-51.17953	2.893056	1957.3532266616821
52	-208.749	145.39577	15.986597	-407.08194	-697.689	245.73547	-22.106806	-892.67926	1000.0	1000.0	260000	52.28367	14.758476	114.72064	-35.161366	-53.5681	2.8792715	1999.5639674663544
53	-285.08746	195.78854	-45.242535	-521.8766	18.566803	119.69888	280.5292	-128.32478	1000.0	1000.0	265000	53.948845	14.637225	103.81929	-24.44607	-55.235767	2.8444011	2042.187355041504
54	-7.770621	144.92706	208.69159	-143.13829	146.34325	32.32959	193.15604	73.16911	1000.0	1000.0	270000	55.62289	14.525913	101.87355	-41.182285	-56.931526	2.8536463	2083.605409860611
55	98.48368	132.51247	323.04263	-66.784	167.47617	317.88605	369.71683	-451.64304	1000.0	1000.0	275000	58.133133	14.318162	104.2748	-33.64173	-59.492336	2.9731355	2124.751531124115
56	63.098755	39.25361	113.3237	-13.617977	-69.748245	138.71373	174.2802	-340.20508	843.5	1000.0	280000	60.94244	13.4776125	109.86541	-29.596886	-62.31139	2.9929934	2165.0432443618774
57	57.2068	130.05176	235.69673	-165.15369	433.90073	179.44969	657.80804	80.19482	1000.0	1000.0	285000	63.79081	12.477532	109.22626	-21.386986	-65.193	2.8595738	2205.1656210422516
58	153.20471	129.2758	392.61057	9.5667095	450.5546	245.06392	708.91144	88.00892	1000.0	1000.0	290000	66.71758	11.529703	119.952354	-22.176544	-68.11209	2.8389544	2245.412919282913
59	130.59918	103.381676	320.63858	5.6865873	397.02048	166.17868	606.6136	32.716053	1000.0	1000.0	295000	69.0066	10.39964	131.68266	-20.089632	-70.387634	2.5935202	2286.1526901721954
60	217.23315	82.26931	358.89706	143.75525	-15.683301	19.206987	17.829098	-43.936497	1000.0	1000.0	300000	70.738365	9.6848135	132.21057	-28.912315	-72.12091	2.4857738	2327.0607335567474
61	92.283554	138.5764	258.1174	-124.30971	37.887123	242.43198	393.56607	-350.2528	1000.0	1000.0	305000	71.86088	9.176031	133.44394	-26.47785	-73.21853	2.3990579	2367.5971019268036
62	98.71425	56.631737	176.93489	45.780514	30.054699	197.8754	257.617	-265.219	1000.0	1000.0	310000	72.92062	8.915142	133.63356	-43.344105	-74.27122	2.3673546	2407.839138507843
63	6.5346985	151.20164	306.80307	-101.602776	-326.40887	23.80861	-277.2715	-357.34143	1000.0	1000.0	315000	73.4654	8.771627	129.60583	-38.99062	-74.77288	2.2707493	2448.3429589271545
64	40.111217	81.464714	142.9784	-107.34085	162.04816	243.9061	394.6236	-452.44244	1000.0	1000.0	320000	72.99429	8.482858	137.85425	-55.71825	-74.26823	2.2135954	2488.8962347507477
65	-7.4987106	65.07655	87.191734	-110.29245	87.05992	77.30312	202.83936	-79.369316	1000.0	1000.0	325000	72.31378	8.131237	128.63834	-29.252945	-73.5655	2.090513	2530.244199991226
66	50.36361	127.47851	230.58415	-164.18727	123.92174	39.994606	162.78532	11.505919	1000.0	1000.0	330000	71.2447	8.104327	126.06755	-46.63187	-72.4602	2.0440204	2571.1976251602173
67	-124.54948	65.14967	-21.118265	-198.60645	320.91266	42.86584	445.49774	287.64185	1000.0	1000.0	335000	70.1349	8.091832	130.4867	-34.22515	-71.34412	2.025312	2612.418917655945
68	15.670778	130.38687	160.69829	-192.03427	23.788149	65.77873	100.89537	-92.30532	1000.0	1000.0	340000	69.124626	8.333132	119.47952	-34.673138	-70.31174	1.9979477	2653.1882045269012
69	4.1349244	142.97308	174.21158	-245.32417	41.372345	78.074875	153.17577	-53.01849	1000.0	1000.0	345000	67.908356	8.689066	118.21453	-17.523289	-69.06449	2.0382886	2693.7429459095
70	-103.25188	78.73783	49.01695	-166.06621	49.009026	277.24863	473.08255	-396.40842	1000.0	1000.0	350000	66.50093	8.892946	116.28469	-26.572079	-67.6363	2.0428042	2734.473345041275
71	35.755302	127.882065	176.54929	-158.55565	-15.881442	62.393864	125.509735	-101.66244	1000.0	1000.0	355000	65.066444	8.934709	107.3234	-39.96999	-66.18305	1.986375	2775.571935415268
72	-21.521591	118.586555	167.47491	-196.87831	-50.719078	51.91282	85.06242	-140.9155	1000.0	1000.0	360000	63.45439	8.952767	121.06433	-29.995293	-64.53408	1.9779487	2816.5279948711395
73	-51.61903	78.91136	86.29074	-134.1772	249.21863	126.87542	471.85736	60.538223	812.2	1000.0	365000	62.42922	8.726666	126.59189	-21.906973	-63.52515	1.9710177	2854.1618468761444
74	-50.080544	108.93495	99.06945	-190.5737	161.26665	120.384964	280.63428	-133.51967	1000.0	1000.0	370000	61.42178	8.643747	116.5927	-26.297842	-62.5014	1.9912226	2895.3286514282227
75	-55.31446	97.71813	79.66005	-215.89897	220.88516	25.298046	254.08891	182.55052	1000.0	1000.0	375000	60.719948	8.645995	107.46494	-45.642002	-61.8123	1.9784446	2936.8179273605347
76	106.22688	164.00986	319.08734	-161.81754	-80.976746	7.0177665	-66.82022	-92.71664	1000.0	1000.0	380000	60.68093	8.754064	111.2292	-36.727203	-61.789608	2.0827281	2978.3074564933777
77	46.7505	92.44874	153.7767	-113.272484	-67.23994	78.59297	-1.7362434	-295.94443	1000.0	1000.0	385000	61.188087	9.030218	112.144104	-50.862816	-62.301643	2.1233315	3019.3225247859955
78	106.883385	101.20444	207.14053	-74.5435	269.0725	33.438656	325.55972	213.63437	1000.0	1000.0	390000	61.609936	9.164802	110.67059	-35.234966	-62.72705	2.0964026	3060.749496459961
79	-25.911951	47.12978	56.31388	-73.427505	92.86694	101.2114	256.7543	-90.19171	1000.0	1000.0	395000	62.934177	9.099193	98.14057	-39.861267	-64.10507	2.023039	3102.055876970291
80	-34.433605	130.34752	120.31875	-220.52199	211.7767	137.47026	456.84525	-32.99762	1000.0	1000.0	400000	64.07602	8.92898	109.62587	-41.222527	-65.20005	2.032278	3143.647773504257
81	43.31741	111.612495	197.21152	-85.78764	59.092598	311.14102	621.939	-302.7845	1000.0	1000.0	405000	64.76742	8.693363	99.40738	-16.410492	-65.89809	1.9619336	3184.28405213356
82	110.71126	82.76071	268.2347	36.549305	252.6222	83.29694	373.3957	145.56969	1000.0	1000.0	410000	65.79145	8.719751	105.02267	-31.165483	-66.946304	1.9875027	3225.5543286800385
83	114.13562	91.924446	221.3225	-21.40522	156.95233	196.4596	473.31073	-223.4322	1000.0	1000.0	415000	66.90221	8.6310835	102.54267	-23.392958	-68.07116	2.0420747	3267.425790309906
84	219.33716	50.208477	276.62753	157.68346	350.90894	236.07175	639.8535	-61.69562	1000.0	1000.0	420000	68.437355	8.663812	102.85883	-28.764683	-69.60293	2.029884	3308.8479347229004
85	197.60118	87.40064	318.03	48.87799	268.16238	209.15184	590.3421	-49.030567	1000.0	1000.0	425000	69.633446	8.566755	106.89693	-32.914227	-70.80858	2.0692987	3350.3636021614075
86	128.31763	119.98297	243.3088	-102.85777	505.10822	225.6	828.7621	203.28247	1000.0	1000.0	430000	70.72605	8.324716	108.55885	-29.554796	-71.881	2.0980663	3392.221403360367
87	222.25925	102.953125	323.49545	40.9792	404.69858	272.4245	738.72577	43.53929	1000.0	1000.0	435000	71.665634	8.348827	129.43791	-41.6373	-72.82415	2.1157966	3433.827255010605
88	230.22035	111.796906	413.30542	80.02623	258.08374	83.57843	406.307	143.32613	931.0	1000.0	440000	72.810745	8.509569	124.369514	-37.07683	-74.00093	2.1605887	3476.9499113559723
89	249.18437	33.691086	296.6778	199.96568	444.88287	115.165115	633.1054	245.05243	1000.0	1000.0	445000	74.018295	8.528963	125.724815	-53.233215	-75.19476	2.2022927	3518.0357048511505
90	203.69545	189.44777	516.6604	-72.83625	345.12665	279.38345	799.37714	4.754517	1000.0	912.4	450000	74.77187	8.573339	118.27197	-25.064775	-75.93895	2.2003453	3559.4286665916443
91	236.8671	178.22092	443.22937	38.13436	331.17273	147.35583	490.4275	9.775304	881.6	1000.0	455000	75.38534	8.687364	116.22839	-26.432787	-76.55242	2.2336335	3599.285656452179
92	246.59904	28.091713	288.20633	216.25197	323.30457	93.01238	479.99234	191.92844	1000.0	1000.0	460000	75.62275	9.052147	124.50685	-27.100124	-76.775826	2.357496	3641.2300143241882
93	277.50177	84.95501	402.3661	170.65631	86.52046	490.6102	818.323	-592.23425	1000.0	1000.0	465000	76.16491	9.376734	124.2337	-20.462063	-77.32874	2.439982	3682.8070526123047
94	266.3171	111.16685	470.72717	154.51707	359.68738	124.80117	573.1864	172.28726	914.6667	1000.0	470000	76.6839	9.27584	126.44711	-36.64067	-77.835526	2.5234318	3726.413177251816
95	244.9541	102.88974	349.7172	48.21884	210.20657	276.34412	464.00534	-243.54312	1000.0	1000.0	475000	76.866	9.21947	126.104904	-32.17612	-78.01034	2.4241066	3769.0812425613403
96	232.33797	56.318027	280.0985	123.00536	376.97348	359.54257	675.4212	-309.2851	1000.0	1000.0	480000	76.76833	9.250063	125.46253	-35.257305	-77.894966	2.3968155	3810.523522377014
97	286.0578	82.804985	407.93683	167.07152	256.82928	470.4349	801.311	-853.40497	1000.0	1000.0	485000	76.99264	9.254825	129.54468	-26.41219	-78.13326	2.394065	3853.0128688812256
98	233.87875	142.29285	337.84912	-45.379837	362.81967	88.41214	508.53207	200.689	1000.0	1000.0	490000	77.485886	9.251694	125.41989	-26.434502	-78.6359	2.4549735	3895.646163702011
99	355.9408	55.61512	437.2828	262.2634	265.3014	223.69011	576.42914	-75.40976	1000.0	911.7	495000	78.17111	9.38362	129.6637	-26.757044	-79.329926	2.4588985	3936.0482263565063
100	264.29077	85.09606	414.05157	157.88461	312.27838	38.528416	363.94638	235.27254	1000.0	1000.0	500000	78.35829	9.404761	130.19069	-36.675663	-79.48017	2.4563012	3977.868708372116
101	278.30206	79.169334	396.48856	193.23747	390.3075	198.53574	758.1969	93.87646	1000.0	1000.0	505000	78.44936	9.444512	130.16823	-40.84961	-79.577286	2.4275937	4019.9428355693817
102	226.79546	72.38441	336.05807	144.29082	415.76764	33.094616	488.59125	369.77295	1000.0	1000.0	510000	78.83006	9.582764	133.32301	-35.471912	-79.9617	2.4834747	4061.414557695389
103	179.5728	65.08935	252.36902	86.19988	353.69785	245.42868	810.2687	-110.681496	1000.0	1000.0	515000	79.26047	9.628633	130.54297	-80.01607	-80.393074	2.5164614	4103.826899051666
104	130.64072	61.25833	198.07529	20.903103	424.63248	265.97357	681.9043	-335.9391	1000.0	1000.0	520000	79.41893	9.748791	129.20146	-55.96628	-80.52944	2.4655192	4145.843901395798
105	263.05295	50.847668	308.9492	182.02861	288.74936	237.77219	686.1869	39.146065	1000.0	1000.0	525000	79.250595	9.914941	133.86223	-37.11013	-80.35051	2.4166048	4188.779023647308
106	231.88696	88.35366	348.0323	93.341965	408.65524	130.17474	659.3639	130.7728	1000.0	912.3	530000	79.09222	10.124518	133.782	-34.69884	-80.1824	2.5922089	4229.626814365387
107	241.31917	117.85288	391.59088	93.5531	362.34894	73.28402	453.87317	256.53134	1000.0	1000.0	535000	78.60728	10.197207	132.1251	-49.598488	-79.684425	2.4920542	4272.267240047455
108	239.04477	68.927734	361.76102	149.37889	430.08746	160.58252	725.2454	81.53902	1000.0	909.4	540000	78.01487	10.261664	134.52533	-23.361374	-79.07583	2.5006008	4312.888165473938
109	248.74475	77.18597	342.03693	135.08968	340.93524	61.4381	466.47043	210.59863	1000.0	1000.0	545000	77.72381	10.593745	132.27396	-36.29327	-78.789566	2.5871122	4354.988810062408
110	314.84064	69.470505	392.70413	193.7002	-135.8046	195.17117	403.25613	-281.8476	1000.0	1000.0	550000	77.00771	10.681949	134.9934	-62.372135	-78.0354	2.485436	4397.494865894318
111	161.1374	67.72884	253.8207	46.225185	495.34683	193.82162	784.9036	38.21009	1000.0	905.4	555000	76.166275	10.519269	131.23007	-40.2282	-77.18417	2.3935895	4439.125338792801
112	292.38065	97.45741	437.18945	162.92381	341.34634	282.59225	936.3158	-58.762486	1000.0	1000.0	560000	75.51801	10.494428	130.83804	-34.271812	-76.5572	2.3297837	4482.622912168503
113	243.75948	70.83589	357.9923	148.85327	357.3816	230.0239	612.49335	-133.07832	1000.0	1000.0	565000	75.67641	10.597586	134.71474	-17.080055	-76.72525	2.3671012	4526.771513938904
114	224.59451	52.02208	307.4358	164.52365	472.5467	208.5316	830.62225	291.89288	1000.0	1000.0	570000	75.92714	10.666638	137.26248	-27.259186	-76.97611	2.4733589	4571.644164800644
115	285.31754	91.42975	464.58795	206.1306	444.53082	167.87149	553.0371	-52.08553	1000.0	1000.0	575000	76.20695	10.548316	134.89061	-28.805893	-77.25665	2.4341035	4619.3914103508
116	309.42352	72.52738	381.16898	174.4156	424.12946	112.9359	549.37445	215.31404	1000.0	1000.0	580000	76.34085	10.242927	135.8022	-50.70727	-77.39061	2.356011	4668.243481397629
